Thepa	Ambtr	Aquco	Mimgu	Medtr	Nelnu	Soltu	Solly	Vitvi	Theca	Frave	Carpa	Arath	Glyma	Poptr
1	1	2	1	0	1	0	1	1	1	1	1	1	1	1
1	1	2	1	1	1	1	1	1	2	1	1	1	2	1
2	1	1	1	1	1	1	1	1	1	1	1	1	2	1
1	1	0	0	0	0	0	0	0	0	0	3	0	0	0
1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
1	1	1	1	2	2	3	2	1	2	2	1	1	7	4
1	1	1	2	1	1	1	2	0	1	1	1	1	0	1
1	1	1	1	1	1	3	1	1	1	1	1	1	3	1
1	1	1	1	0	2	1	1	1	1	1	1	3	2	2
1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	3	1	1	1	1	1	2	1	2	2
1	1	2	1	3	1	1	1	1	1	2	1	1	3	2
1	1	1	1	2	1	1	1	1	1	1	1	1	7	2
2	1	1	1	1	2	1	2	1	1	1	0	1	2	1
1	1	1	4	5	2	3	2	2	2	2	2	1	13	10
1	1	3	3	2	2	5	2	2	2	2	1	1	4	4
1	1	1	1	1	1	1	1	0	1	1	0	1	1	1
1	1	1	1	0	2	2	2	1	1	1	1	1	4	1
0	1	10	2	1	0	1	1	1	2	3	1	0	1	5
1	1	3	2	3	2	3	2	3	2	2	3	1	4	4
1	1	1	1	0	2	1	1	0	1	1	1	1	2	1
3	1	4	2	2	1	2	1	2	2	1	1	3	7	2
1	1	1	1	0	1	2	1	1	1	0	1	1	2	10
1	1	1	1	0	1	1	1	1	1	1	1	1	2	1
1	1	1	1	1	1	3	0	1	1	1	1	1	0	1
1	1	1	1	3	0	0	1	1	1	1	1	1	2	2
1	1	1	0	0	1	1	1	1	1	0	1	1	5	4
1	1	1	1	1	1	1	1	1	1	2	1	1	2	1
2	1	0	2	0	2	2	2	1	1	1	1	2	2	2
1	2	1	2	1	1	2	1	1	0	0	1	1	2	2
2	1	2	2	2	2	2	2	2	2	2	1	2	4	4
1	1	1	1	1	1	2	2	1	1	1	1	2	4	2
1	1	1	1	2	1	4	1	1	2	1	2	1	1	3
3	1	1	1	0	2	1	1	2	2	2	1	2	5	4
1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
1	1	1	1	0	1	1	1	1	1	2	1	1	1	1
1	1	2	1	1	2	2	1	1	1	1	1	1	4	1
2	1	1	1	0	1	2	1	1	1	2	1	1	3	1
0	1	1	1	2	1	2	1	1	1	1	0	0	1	2
1	1	1	1	1	1	1	1	1	1	1	1	1	3	1
1	1	1	2	1	2	1	1	2	1	1	1	1	3	2
2	1	1	1	2	2	2	1	1	1	1	2	2	5	1
1	1	1	3	0	1	1	1	1	1	1	1	1	3	2
1	1	1	2	0	2	0	2	2	2	1	2	1	5	4
2	1	1	1	0	2	1	1	1	1	1	1	2	7	2
1	1	1	1	1	1	1	1	1	1	1	0	1	2	2
0	1	1	1	1	1	1	1	0	1	1	1	0	2	2
1	1	1	1	1	1	1	1	0	1	1	1	1	3	1
1	1	1	2	1	2	1	1	1	1	1	1	1	3	2
1	1	2	2	2	2	3	3	2	2	2	1	2	4	4
0	1	0	0	0	0	1	1	0	0	0	0	0	3	0
1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
1	1	1	2	0	2	1	1	0	1	1	1	1	3	1
2	1	0	0	2	0	1	1	4	4	0	1	1	1	1
1	1	2	1	0	2	1	1	1	1	1	1	2	2	2
1	1	1	1	0	2	2	1	1	2	1	1	1	4	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	2	3	1	1	0	1	1	1	1	0	1	0	3	1
1	1	1	1	1	2	1	1	3	1	1	1	1	5	1
